Filename	Segment	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	drives	affiliation	achieve	power	reward	risk	work	leisure	home	money	relig	death
1000004.txt	1	4.84	4.84	0.00	0.00	0.00	0.00	9.68	0.00	0.00	6.45	0.00	12.90	3.23	6.45	0.00	1.61	0.00	1.61	4.84	0.00	4.84	4.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1000107.txt	1	6.98	6.98	0.00	0.00	0.00	0.00	9.30	0.00	0.00	6.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.95	2.33	4.65	6.98	4.65	0.00	11.63	4.65	0.00	0.00	0.00	2.33
1000470.txt	1	4.00	2.00	2.00	0.00	2.00	0.00	6.00	0.00	0.00	4.00	2.00	6.00	2.00	2.00	0.00	4.00	0.00	0.00	6.00	0.00	4.00	2.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	2.00
1000568.txt	1	15.62	14.06	1.56	0.00	1.56	0.00	15.62	0.00	0.00	10.94	0.00	7.81	7.81	0.00	0.00	0.00	0.00	0.00	7.81	0.00	4.69	3.12	4.69	0.00	1.56	0.00	0.00	0.00	0.00	0.00
1000569.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	12.28	0.00	0.00	7.02	0.00	1.75	0.00	0.00	1.75	0.00	0.00	0.00	3.51	0.00	1.75	1.75	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00
1000897.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	3.45	0.00	0.00	0.00	0.00	6.90	1.72	3.45	0.00	1.72	1.72	0.00	3.45	0.00	0.00	1.72	1.72	0.00	0.00	3.45	0.00	0.00	0.00	0.00
1001470.txt	1	5.36	5.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.57	1.79	1.79	0.00	0.00	0.00	0.00	3.57	0.00	1.79	0.00	1.79	0.00	1.79	0.00	0.00	0.00	0.00	0.00
1002861.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	8.70	4.35	0.00	4.35	4.35	4.35	0.00	0.00	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1002864.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	5.26	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.89	5.26	0.00	2.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1003047.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	0.00	4.17	0.00	2.08	0.00	0.00	0.00	2.08	8.33	2.08	2.08	4.17	0.00	0.00	8.33	0.00	0.00	2.08	0.00	0.00
1003166.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	3.51	0.00	0.00	3.51	0.00	1.75	0.00	0.00	0.00	1.75	0.00	0.00	3.51	0.00	0.00	1.75	0.00	1.75	1.75	1.75	0.00	0.00	0.00	0.00
1003198.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	16.67	4.76	0.00	9.52	4.76	4.76	2.38	0.00	0.00	2.38	0.00	0.00	2.38	2.38	0.00	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00
1003373.txt	1	2.31	0.77	1.54	0.00	0.00	0.00	15.38	0.77	1.54	0.00	0.00	14.62	3.08	3.85	3.85	3.85	1.54	3.08	8.46	2.31	0.77	5.38	1.54	0.00	2.31	0.00	0.00	0.00	0.00	0.00
1003401.txt	1	5.61	4.67	0.93	0.93	0.00	0.00	11.21	2.80	0.00	0.00	0.00	9.35	0.93	0.93	3.74	5.61	0.93	5.61	10.28	0.93	2.80	3.74	8.41	0.93	4.67	0.00	0.00	0.00	0.00	0.00
1003997.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	8.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	0.00	0.00	0.00	0.00
1004008.txt	1	11.63	9.30	2.33	2.33	0.00	0.00	6.98	0.00	0.00	2.33	0.00	2.33	2.33	0.00	0.00	0.00	0.00	0.00	2.33	0.00	0.00	2.33	0.00	0.00	0.00	9.30	0.00	0.00	2.33	0.00
1004167.txt	1	5.36	3.57	1.79	0.00	1.79	0.00	10.71	0.00	0.00	0.00	7.14	1.79	0.00	0.00	0.00	1.79	0.00	0.00	3.57	1.79	0.00	1.79	0.00	0.00	1.79	0.00	0.00	0.00	1.79	0.00
1004187.txt	1	8.57	5.71	2.86	0.00	0.00	0.00	2.86	0.00	0.00	2.86	0.00	2.86	0.00	0.00	0.00	2.86	0.00	0.00	2.86	0.00	0.00	0.00	0.00	2.86	0.00	8.57	5.71	0.00	0.00	0.00
1004191.txt	1	1.56	0.00	1.56	0.00	0.00	0.00	10.94	4.69	0.00	4.69	3.12	3.12	0.00	1.56	0.00	1.56	0.00	0.00	1.56	1.56	0.00	0.00	0.00	0.00	0.00	1.56	1.56	0.00	0.00	0.00
1004209.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.70	0.00	8.70	0.00	0.00	0.00	0.00	2.17	0.00	2.17	0.00	0.00	0.00	8.70	0.00	0.00	2.17	0.00	0.00
1004248.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	10.00	5.00	15.00	0.00	0.00	0.00	10.00	0.00	10.00	10.00	0.00	0.00	10.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00
1004297.txt	1	6.67	0.00	6.67	2.22	2.22	0.00	6.67	2.22	2.22	2.22	2.22	6.67	2.22	0.00	4.44	2.22	0.00	0.00	15.56	2.22	2.22	8.89	0.00	4.44	2.22	2.22	0.00	0.00	0.00	2.22
1004322.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	9.64	4.82	0.00	0.00	0.00	4.82	1.20	0.00	1.20	2.41	0.00	3.61	3.61	0.00	1.20	2.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
