Filename	Segment	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	drives	affiliation	achieve	power	reward	risk	work	leisure	home	money	relig	death
1000398.txt	1	1.30	0.00	1.30	0.00	1.30	0.00	14.29	1.30	0.00	0.00	9.09	9.09	3.90	0.00	0.00	3.90	0.00	2.60	3.90	2.60	0.00	1.30	0.00	0.00	1.30	0.00	0.00	0.00	0.00	1.30
1000468.txt	1	2.50	2.50	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	3.75	5.00	0.00	3.75	0.00	1.25	0.00	0.00	6.25	1.25	2.50	3.75	0.00	0.00	6.25	1.25	0.00	2.50	0.00	0.00
1000574.txt	1	3.30	0.00	3.30	1.10	1.10	1.10	10.99	2.20	0.00	1.10	3.30	4.40	2.20	0.00	0.00	0.00	0.00	2.20	16.48	4.40	1.10	10.99	0.00	2.20	2.20	2.20	1.10	0.00	1.10	0.00
1000611.txt	1	1.47	1.47	0.00	0.00	0.00	0.00	14.71	5.88	0.00	1.47	10.29	1.47	1.47	0.00	0.00	0.00	0.00	0.00	2.94	0.00	1.47	1.47	0.00	0.00	4.41	0.00	1.47	1.47	0.00	1.47
1000670.txt	1	1.47	1.47	0.00	0.00	0.00	0.00	10.29	0.00	0.00	0.00	2.94	7.35	2.94	4.41	0.00	0.00	1.47	0.00	7.35	1.47	5.88	5.88	0.00	0.00	16.18	4.41	0.00	2.94	0.00	0.00
1000681.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	9.23	0.77	0.77	0.00	7.69	4.62	0.77	3.08	0.00	0.77	0.00	0.00	4.62	0.77	0.00	3.85	0.00	0.00	13.85	0.00	0.00	0.00	0.00	0.00
1001871.txt	1	2.50	2.50	0.00	0.00	0.00	0.00	17.50	2.50	0.00	10.00	0.00	5.00	2.50	0.00	0.00	0.00	0.00	2.50	2.50	0.00	2.50	2.50	2.50	0.00	5.00	0.00	0.00	0.00	0.00	0.00
1002005.txt	1	4.17	4.17	0.00	0.00	0.00	0.00	4.17	0.00	2.08	0.00	0.00	2.08	0.00	0.00	0.00	2.08	0.00	2.08	2.08	0.00	0.00	0.00	2.08	0.00	2.08	14.58	2.08	2.08	0.00	0.00
1002190.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.77	3.77	0.00	0.00	0.00	0.00	0.00	5.66	3.77	1.89	0.00	0.00	0.00	0.00	3.77	1.89	0.00	0.00	0.00
1002290.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	1.61	4.84	0.00	1.61	0.00	3.23	0.00	0.00	8.06	0.00	0.00	4.84	3.23	0.00	4.84	0.00	0.00	1.61	1.61	0.00
1002485.txt	1	2.04	2.04	0.00	0.00	0.00	0.00	8.16	0.00	0.00	0.00	6.12	2.04	0.00	2.04	0.00	0.00	0.00	0.00	8.16	2.04	0.00	8.16	0.00	0.00	4.08	0.00	0.00	0.00	0.00	0.00
1002544.txt	1	2.25	1.12	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00	0.00	16.85	1.12	5.62	0.00	4.49	3.37	3.37	4.49	2.25	1.12	1.12	0.00	0.00	2.25	1.12	0.00	0.00	0.00	0.00
1002653.txt	1	4.17	4.17	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	4.17	0.00	4.17	0.00	0.00	0.00	0.00	2.08	0.00	2.08	0.00	0.00	0.00	10.42	0.00	2.08	0.00	0.00	0.00
1002679.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	0.00	0.00	0.00	0.00	0.00
1002689.txt	1	2.27	2.27	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	4.55	13.64	2.27	2.27	0.00	4.55	2.27	2.27	2.27	0.00	2.27	0.00	0.00	0.00	2.27	2.27	0.00	0.00	0.00	0.00
1002762.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	3.64	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.64	1.82	0.00	1.82	0.00	0.00	3.64	1.82	0.00	0.00	0.00	0.00
1002801.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	9.30	0.00	0.00	0.00	9.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.33	0.00	0.00	2.33	0.00	0.00	11.63	0.00	0.00	0.00	2.33	0.00
1002887.txt	1	10.87	0.00	10.87	2.17	2.17	2.17	10.87	0.00	0.00	2.17	2.17	6.52	0.00	0.00	0.00	4.35	0.00	4.35	8.70	4.35	0.00	4.35	0.00	0.00	2.17	4.35	0.00	0.00	0.00	0.00
1002896.txt	1	2.25	1.12	1.12	0.00	0.00	1.12	5.62	0.00	0.00	0.00	0.00	2.25	0.00	0.00	1.12	0.00	0.00	1.12	4.49	2.25	0.00	2.25	0.00	0.00	0.00	1.12	1.12	0.00	7.87	5.62
1002902.txt	1	8.20	1.64	3.28	0.00	3.28	0.00	16.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.92	0.00	1.64	4.92	1.64	0.00	4.92	4.92	0.00	0.00	0.00	0.00
1002940.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	3.92	0.00	0.00	0.00	0.00	7.84	0.00	5.88	0.00	0.00	0.00	1.96	3.92	0.00	1.96	1.96	0.00	0.00	1.96	7.84	0.00	0.00	0.00	0.00
1003006.txt	1	7.41	5.56	1.85	0.00	0.00	0.00	3.70	0.00	0.00	0.00	1.85	5.56	0.00	1.85	0.00	1.85	0.00	1.85	12.96	0.00	3.70	9.26	1.85	1.85	1.85	0.00	0.00	0.00	1.85	0.00
1003114.txt	1	1.75	0.00	1.75	1.75	0.00	0.00	15.79	5.26	0.00	1.75	8.77	5.26	1.75	0.00	0.00	0.00	1.75	1.75	3.51	1.75	0.00	1.75	0.00	0.00	0.00	3.51	0.00	0.00	1.75	0.00
1003210.txt	1	5.36	3.57	1.79	0.00	0.00	0.00	8.93	1.79	0.00	0.00	5.36	3.57	0.00	0.00	0.00	1.79	0.00	1.79	12.50	3.57	3.57	5.36	0.00	0.00	7.14	1.79	1.79	1.79	0.00	0.00
1003249.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	8.82	5.88	0.00	2.94	2.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.94	2.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.94	0.00	0.00
1003350.txt	1	2.44	1.22	1.22	0.00	1.22	0.00	6.10	0.00	0.00	0.00	4.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.54	0.00	1.22	7.32	1.22	0.00	1.22	6.10	0.00	0.00	0.00	0.00
1003445.txt	1	5.00	5.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	5.00	7.50	0.00	2.50	5.00	0.00	0.00	10.00	5.00	0.00	0.00	2.50	0.00
1003623.txt	1	2.97	0.99	1.98	0.00	1.98	0.00	4.95	0.00	0.00	0.00	1.98	4.95	0.99	0.00	0.00	2.97	0.99	1.98	1.98	0.00	0.99	0.99	0.00	0.00	1.98	0.99	0.00	0.00	0.00	0.99
1004199.txt	1	2.38	2.38	0.00	0.00	0.00	0.00	9.52	0.00	0.00	0.00	7.14	11.90	4.76	2.38	0.00	2.38	0.00	2.38	4.76	0.00	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1004319.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	9.68	0.00	9.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.23	16.13	0.00	0.00	0.00	0.00
1005653.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	12.24	0.00	0.00	0.00	6.12	6.12	4.08	0.00	0.00	2.04	0.00	0.00	8.16	2.04	2.04	2.04	4.08	0.00	14.29	2.04	0.00	2.04	0.00	0.00
1005968.txt	1	10.94	1.56	9.38	0.00	9.38	0.00	1.56	0.00	0.00	0.00	0.00	1.56	0.00	1.56	0.00	0.00	0.00	0.00	6.25	0.00	3.12	1.56	1.56	0.00	1.56	4.69	0.00	1.56	0.00	0.00
1006004.txt	1	5.56	5.56	0.00	0.00	0.00	0.00	11.11	0.00	0.00	0.00	5.56	5.56	0.00	0.00	0.00	5.56	0.00	0.00	11.11	5.56	0.00	5.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.56
1006054.txt	1	1.30	1.30	0.00	0.00	0.00	0.00	15.58	0.00	1.30	0.00	5.19	5.19	1.30	1.30	1.30	1.30	0.00	0.00	6.49	2.60	2.60	3.90	0.00	0.00	0.00	2.60	0.00	0.00	2.60	2.60
1006094.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	11.76	0.00	0.00	0.00	0.00	9.80	3.92	0.00	1.96	1.96	1.96	0.00	7.84	5.88	0.00	1.96	0.00	0.00	3.92	0.00	0.00	0.00	0.00	0.00
1006136.txt	1	3.08	3.08	0.00	0.00	0.00	0.00	13.85	0.00	0.00	0.00	9.23	3.08	1.54	0.00	0.00	0.00	0.00	1.54	9.23	1.54	1.54	6.15	0.00	0.00	4.62	0.00	0.00	0.00	1.54	3.08
1006306.txt	1	1.11	0.00	1.11	0.00	0.00	0.00	6.67	1.11	0.00	0.00	1.11	4.44	2.22	1.11	0.00	0.00	1.11	0.00	4.44	1.11	3.33	1.11	0.00	0.00	3.33	3.33	0.00	0.00	0.00	0.00
1006366.txt	1	6.67	0.00	6.67	0.00	4.44	0.00	4.44	0.00	0.00	0.00	0.00	11.11	2.22	0.00	2.22	2.22	2.22	2.22	4.44	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	2.22	0.00
1006452.txt	1	6.52	6.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00	2.17	8.70	0.00	2.17	8.70	0.00	0.00	4.35	0.00	0.00	2.17	0.00	0.00
1006509.txt	1	5.88	1.96	3.92	0.00	0.00	0.00	3.92	0.00	0.00	0.00	0.00	1.96	1.96	0.00	0.00	0.00	0.00	0.00	1.96	0.00	1.96	0.00	0.00	0.00	0.00	3.92	0.00	1.96	0.00	0.00
1006665.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	7.69	5.13	2.56	5.13	2.56	2.56	0.00	0.00	0.00	0.00	0.00	2.56	12.82	2.56	5.13	2.56	2.56	0.00	12.82	0.00	0.00	0.00	0.00	2.56
1006696.txt	1	1.05	1.05	0.00	0.00	0.00	0.00	4.21	0.00	0.00	0.00	1.05	4.21	2.11	0.00	0.00	0.00	0.00	2.11	5.26	0.00	2.11	3.16	0.00	0.00	13.68	0.00	2.11	0.00	0.00	0.00
1006829.txt	1	2.22	0.00	2.22	0.00	2.22	0.00	4.44	2.22	0.00	0.00	2.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.56	0.00	2.22	13.33	0.00	0.00	2.22	0.00	0.00	0.00	0.00	2.22
