Filename	Segment	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	drives	affiliation	achieve	power	reward	risk	work	leisure	home	money	relig	death
1000406.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	7.41	0.62	0.00	0.62	1.23	1.85	0.00	1.23	0.00	0.62	0.00	0.00	3.09	1.85	0.00	1.23	0.00	0.00	0.00	2.47	1.23	0.62	0.00	0.00
1000528.txt	1	5.41	5.41	0.00	0.00	0.00	0.00	8.11	0.00	0.00	0.00	0.00	18.92	5.41	0.00	0.00	13.51	0.00	10.81	13.51	5.41	0.00	8.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1000728.txt	1	3.45	3.45	0.00	0.00	0.00	0.00	4.60	0.00	0.00	0.00	0.00	5.75	0.00	5.75	0.00	0.00	0.00	0.00	6.90	3.45	1.15	2.30	0.00	0.00	5.75	6.90	0.00	2.30	0.00	0.00
1001818.txt	1	1.05	1.05	0.00	0.00	0.00	0.00	7.37	0.00	0.00	0.00	0.00	7.37	1.05	3.16	0.00	1.05	1.05	1.05	5.26	5.26	0.00	0.00	0.00	0.00	4.21	1.05	0.00	6.32	1.05	0.00
1001929.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.46	1.49	1.49	0.00	4.48	0.00	1.49	4.48	0.00	4.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1001936.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00	1.79	1.79	0.00	0.00	0.00	0.00	0.00	3.57	0.00	1.79	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1002220.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.26	3.70	1.85	0.00	0.00	3.70	0.00	1.85	0.00	1.85	0.00	0.00	0.00	1.85	1.85	0.00	0.00	0.00	0.00
1002714.txt	1	4.26	0.00	4.26	0.00	0.00	4.26	4.26	0.00	0.00	0.00	0.00	6.38	6.38	0.00	0.00	0.00	0.00	0.00	8.51	4.26	0.00	4.26	0.00	0.00	10.64	4.26	0.00	0.00	0.00	0.00
1003021.txt	1	1.85	1.85	0.00	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00	8.33	0.93	3.70	0.00	2.78	0.00	1.85	7.41	0.00	3.70	2.78	3.70	0.00	14.81	0.00	0.00	14.81	0.00	0.00
100307.txt	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.82	2.27	2.27	0.00	2.27	0.00	2.27	4.55	0.00	0.00	2.27	0.00	2.27	15.91	0.00	0.00	4.55	0.00	0.00
