term,label
girl,f
girls,f
sister,f
sisters,f
mom,f
moms,f
mother,f
mothers,f
fiancee,f
lady,f
ladies,f
godmother,f
grandmother,f
grandmothers,f
grandma,f
granddaughter,f
granddaughters,f
she,f
her,f
herself,f
hers,f
gal,f
gals,f
female,f
females,f
woman,f
women,f
madam,f
daughter,f
daughters,f
stepmother,f
stepdaughter,f
mama,f
actress,f
queen,f
waitress,f
businesswoman,f
empress,f
duchess,f
sultana,f
priestess,f
feminine,f
czarina,f
witch,f
policewoman,f
saleswoman,f
horsewoman,f
chairwoman,f
congresswoman,f
forewoman,f
sportswoman,f
girlfriend,f
landlady,f
countrywoman,f
councilwoman,f
princess,f
spokeswoman,f
aunt,f
stateswoman,f
wife,f
girlhood,f
nun,f
niece,f
matron,f
chambermaid,f
housewife,f
maid,f
mistress,f
stuntwoman,f
usherette,f
widow,f
bride,f
maiden,f
womb,f
pregnant,f
maternity,f
hostess,f
maternal,f
sorority,f
estrogen,f
period,f
labia,f
lass,f
spinster,f
miss,f
dame,f
ms,f
ex-girlfriend,f
ex-wife,f
utrine,f
estrogen,f
colostrum,f
depo,f
pregnancy,f
mammogram,f
matricide,f
boy,m
boys,m
brother,m
brothers,m
dad,m
dads,m
father,m
fathers,m
fiance,m
gentleman,m
gentlemen,m
godfather,m
grandfather,m
grandfathers,m
grandpa,m
grandson,m
grandsons,m
he,m
him,m
himself,m
his,m
lad,m
lads,m
male,m
males,m
man,m
men,m
sir,m
son,m
sons,m
stepfather,m
stepson,m
papa,m
guy,m
king,m
waiter,m
businessman,m
emperor,m
duke,m
sultan,m
priest,m
masculine,m
czar,m
wizard,m
policeman,m
salesman,m
horseman,m
chairman,m
congressman,m
foreman,m
sportsman,m
boyfriend,m
landlord,m
countryman,m
councilman,m
prince,m
spokesman,m
uncle,m
statesman,m
husband,m
boyhood,m
monk,m
nephew,m
fathered,m
dude,m
mr,m
prostate,m
ex-boyfriend,m
ex-husband,m
testosterone,m
prostate,m
masculine,m
